player_name,pos,team,projection
Lamar Jackson,QB,BAL,353.41
Christian McCaffrey,RB,CAR,338.52
Patrick Mahomes,QB,KC,331.01
Deshaun Watson,QB,HOU,307.07
Michael Thomas,WR,NO,300.99
Dalvin Cook,RB,MIN,299.89
Dak Prescott,QB,DAL,298.73
Russell Wilson,QB,SEA,296.8
Ezekiel Elliot,RB,DAL,292.63
Saquon Barkley,RB,NYG,291.03
Kyler Murray,QB,ARI,288.2
Josh Allen,QB,BUF,285.9
Tom Brady,QB,TAM,281.82
Alvin Kamara,RB,NO,279.9
Drew Brees,QB,NO,273.04
Carson Wentz,QB,PHI,269.98
DeAndre Hopkins,WR,ARI,268.42
Matt Ryan,QB,ATL,268.28
Aaron Rodgers,QB,GB,266.29
Matthew Stafford,QB,DET,264.47
Julio Jones,WR,ATL,262.85
Travis Kelce,TE,KC,262.77
Davante Adams,WR,GB,261.75
Chris Godwin,WR,TB,260.47
Mike Evans,WR,TB,255.63
Aaron Jones,RB,GB,255.56
Daniel Jones,QB,NYG,253.83
Derrick Henry,RB,TEN,250.97
Jared Goff,QB,LAR,249.88
Tyreek Hill,WR,KC,248.22
Kenyan Drake,RB,ARI,247.86
George Kittle,TE,SF,246.41
Austin Ekeler,RB,LAC,245.81
Ryan Tannehill,QB,TEN,242.45
Ben Roethlisberger,QB,PIT,240.44
Leonard Fournette,RB,JAX,236.92
Jimmy Garoppolo,QB,SF,236.55
Gardner Minshew II,QB,JAX,235.7
Damien Williams,RB,KC,234.76
Baker Mayfield,QB,CLE,232.84
Adam Thielen,WR,MIN,231.69
Kirk Cousins,QB,MIN,231.21
Ryan Fitzpatrick,MIA,QB,229.78
Nick Chubb,RB,CLE,229.4
Kenny Golladay,WR,DET,227.23
DJ Moore,WR,CAR,226.9
Miles Sanders,RB,PHI,224.49
Josh Jacobs,RB,OAK,223.69
Amari Cooper,WR,DAL,223.65
Phillip Rivers,QB,IND,222.08
Leveon Bell,RB,NYJ,221.87
Joe Mixon,RB,CIN,221.58
Courtland Sutton,WR,DEN,221.13
Tyler Lockett,WR,SEA,219.67
TY Hilton,WR,IND,219.42
Robert Woods,WR,LAR,219.04
Teddy Bridgewater,QB,CAR,218.63
Allen Robinson II,WR,CHI,218.57
Drew Lock,QB,DEN,218.4
Todd Gurley II,RB,ATL,216.2
Cooper Kupp,WR,LAR,215.76
Terry McLaurin,WR,WAS,215.39
JuJu Smith-Schuster,WR,PIT,214.42
Sam Darnold,QB,NYJ,213.81
Deebo Samuel,WR,SF,211.93
AJ Brown,WR,TEN,211.75
James Conner,RB,PIT,211.63
Chris Carson,RB,SEA,211.43
Jarrett Stidham,QB,NE,211.42
Dwayne Haskins Jr.,QB,WAS,209.21
Marvin Jones Jr.,WR,DET,207.36
Calvin Ridley,WR,ATL,207.18
Julian Edleman,WR,NE,206.86
Odell Beckham Jr.,WR,CLE,206.38
Keenan Allen,WR,LAC,204.79
Devin Singletary,RB,BUF,204.31
DeVante Parker,WR,MIA,203.55
Derek Carr,QB,OAK,202.05
Zach Ertz,TE,PHI,201.31
Jarvis Landry,WR,CLE,200.07
Mark Ingram II,RB,BAL,199.56
AJ Green,WR,CIN,199.51
Michael Gallup,WR,DAL,198.49
Melvin Gordon,RB,DEN,197.91
Mark Andrews,TE,BAL,197.12
Stefon Diggs,WR,BUF,195.73
DJ Chark Jr.,WR,JAX,195.71
Darren Waller,TE,OAK,194.42
Ronald Jones II,RB,TB,192.91
Raheem Mostert,RB,SF,192.89
Darrell Henderson Jr.,RB,LAR,192.31
Tyler Boyd,WR,CIN,191.84
David Johnson,RB,HOU,191.17
Tyrod Taylor,QB,LAC,190.2
Sterling Shepard,WR,NYG,188.62
Kerryon Johnson,RB,DET,187.55
Marlon Mack,RB,IND,187.42
DK Metcalf,WR,SEA,187.38
Jamison Crowder,WR,NYJ,185.41
Tyler Higbee,TE,LAR,184.21
Diontae Johnson,WR,PIT,178.28
James White,RB,NE,176.83
Marquise Brown,WR,BAL,174.11
Golden Tate,WR,NYG,173.42
Preston Williams,WR,MIA,172.75
Will Fuller V,WR,HOU,172.32
Dede Westbrook,WR,JAX,172.2
Tarik Cohen,RB,CHI,171.65
Alshon Jeffery,WR,PHI,171.62
Kareem Hunt,RB,CLE,171.13
Andy Dalton,QB,CIN,170.89
John Brown,WR,BUF,170.88
David Montgomery,RB,CHI,167.32
Robby Anderson,WR,CAR,166.64
Emmanuel Sanders,WR,NO,166.55
Evan Engram,TE,NYG,165.82
Derrius Guice,RB,WAS,165.65
James Washington,WR,PIT,165.48
Darius Slayton,WR,NYG,165.44
Boston Scott,RB,PHI,164.38
N'Keal Harry,WR,NE,163.23
Christian Kirk,WR,ARI,162.51
Brandon Cooks,WR,HOU,162.22
Kenny Stills,WR,HOU,158.75
Jordan Howard,RB,MIA,158.55
Anthony Miller,WR,CHI,157.91
Hunter Renfrow,WR,OAK,157.43
Breshad Perriman,WR,NYJ,155.62
Mitchell Trubisky,QB,CHI,153.89
Mike Williams,WR,LAC,153.71
Deshaun Jackson,WR,PHI,151.6
Phillip Lindsay,RB,DEN,151.56
Russell Gage,WR,ATL,150.65
Jared Cook,TE,NO,150.21
Curtis Samuel,WR,CAR,150.05
Larry Fitzgerald,WR,ARI,149.45
Tyrell Williams,WR,OAK,148.76
Parris Campbell,WR,IND,147.78
Steven Sims Jr.,WR,WAS,147.45
Will Lutz,K,NO,146.83
Mecole Hardman,WR,KC,146.53
Duke Johnson,RB,HOU,145.9
Jamaal Williams,RB,GB,145.78
Jack Doyle,TE,IND,145.56
Sammy Watkins,WR,KC,142.96
Danny Amendola,WR,DET,142.26
Justin Tucker,K,BAL,141.93
Austin Hooper,TE,CLE,141.63
Hunter Henry,TE,LAC,141
TJ Hockenson,TE,DET,140.59
Cole Beasley,WR,BUF,138.64
Harrison Butker,K,KC,138.61
Latavius Murray,RB,NO,137.15
Steelers D/ST,D/ST,PIT,135.91
Bills D/ST,D/ST,BUF,135.35
Nyheim Hines,RB,IND,135.19
Chris Conley,WR,JAX,135.04
Randall Cobb,WR,HOU,134.94
Mike Gesicki,TE,MIA,134.93
Justin Jackson,RB,LAC,134.61
Kai Forbath,K,DAL,134.5
Mahamed Sanu Sr.,WR,NE,131.34
Matt Prater,K,DET,131.03
Zach Pascal,WR,IND,129.9
Dare Ogunbowale,RB,TB,129.65
Sony Michel,RB,RB,129.58
Chris Boswell,K,KC,128.35
Rashaad Penny,RB,RB,128.35
Robbie Gould,K,KC,128.3
49ers D/ST,D/ST,SF,127.72
Kelvin Harmon,WR,WAS,126.25
Dallas Goedert,TE,PHI,126.1
Noah Fant,TE,DEN,125.8
Tevin Coleman,RB,SF,125.64
Matt Gay,K,K,125.15
DaeSean Hamilton,WR,DEN,125.01
Malcolm Brown,WR,LAR,124.55
Jaylen Samuels,RB,PIT,124.25
Allen Lazard,WR,GB,123.85
Blake Jarwin,TE,DAL,123.46
Corey Davis,WR,TEN,123.06
Jake Elliot,K,PHI,122.43
Zane Gonzalez,K,ARI,122.42
Patriots D/ST,D/ST,NE,122.26
Ravens D/ST,D/ST,BAL,120.7
Chris Herndon,TE,NYJ,120.37
Hayden Hurst,TE,ATL,119.2
Stephen Hauschka,K,BUF,119.03
Adam Humphries,WR,TEN,118.34
Austin Seibert,K,CLE,118
Jason Myers,K,SEA,117.8
Younghoe Koo,K,ATL,117.56
Eric Ebron,TE,PIT,117.47
Aldrick Rosas,K,NYG,116.61
Joey Slye,K,CAR,116.43
Brandon McManus,K,DEN,115.79
Colts D/St,D/ST,IND,115.74
Chase McLaughlin,K,IND,115.58
Dan Bailey,K,MIN,115.39
Ka'imi Fairbairn,K,HOU,115.28
