player_name,pos,team,projection
Dolphins,D/ST,Dolphins,64.0
Steelers,D/ST,Steelers,108.0
Washington,D/ST,Washington,77.0
Rams,D/ST,Rams,79.0
Seahawks,D/ST,Seahawks,20.0
Browns,D/ST,Browns,63.0
Giants,D/ST,Giants,56.0
Packers,D/ST,Packers,40.0
Saints,D/ST,Saints,83.0
Colts,D/ST,Colts,111.0
Broncos,D/ST,Broncos,45.0
Bengals,D/ST,Bengals,8.0
Jets,D/ST,Jets,13.0
Cardinals,D/ST,Cardinals,44.0
Panthers,D/ST,Panthers,34.0
Cowboys,D/ST,Cowboys,11.0
Vikings,D/ST,Vikings,20.0
Jaguars,D/ST,Jaguars,11.0
Ravens,D/ST,Ravens,85.0
Bears,D/ST,Bears,60.0
Eagles,D/ST,Eagles,66.0
Bills,D/ST,Bills,39.0
Texans,D/ST,Texans,21.0
49ers,D/ST,49ers,48.0
Lions,D/ST,Lions,12.0
Falcons,D/ST,Falcons,9.0
Raiders,D/ST,Raiders,9.0
Chargers,D/ST,Chargers,41.0
Chiefs,D/ST,Chiefs,59.0
Titans,D/ST,Titans,24.0
Patriots,D/ST,Patriots,50.0
Buccaneers,D/ST,Buccaneers,84.0
