player_name,pos,team,projection
Lamar Jackson,QB,BAL,415.68
Christian McCaffrey D,RB,CAR,355.2
Dak Prescott IR,QB,DAL,337.78
Russell Wilson,QB,SEA,328.6
Deshaun Watson,QB,HOU,319.98
Jameis Winston,QB,TB,305.36
Josh Allen,QB,BUF,288.56
Patrick Mahomes,QB,KC,287.04
Kyler Murray Q,QB,ARI,285.28
Aaron Rodgers,QB,GB,278.38
Derrick Henry,RB,TEN,276.6
Carson Wentz,QB,PHI,275.86
Matt Ryan,QB,ATL,267.34
Aaron Jones,RB,GB,265.8
Tom Brady,QB,NE,263.68
Ezekiel Elliott,RB,DAL,257.7
Jared Goff,QB,LAR,247.52
Jimmy Garoppolo IR,QB,SF,247.32
Kirk Cousins,QB,MIN,244.42
Derek Carr,QB,LV,244.36
Ryan Fitzpatrick,QB,MIA,241.46
Dalvin Cook,RB,MIN,239.4
Philip Rivers Q,QB,LAC,235.5
Gardner Minshew II Q,QB,JAX,229.24
Baker Mayfield,QB,CLE,229.18
Michael Thomas,WR,NO,225.6
Drew Brees,QB,NO,224.76
Ryan Tannehill,QB,TEN,224.18
Nick Chubb,RB,CLE,219.2
Austin Ekeler IR,RB,LAC,217
Jacoby Brissett,QB,IND,216.68
Mark Ingram II,RB,BAL,216.5
Daniel Jones,QB,NYG,214.98
Mitchell Trubisky Q,QB,CHI,202.82
Andy Dalton,QB,CIN,202.66
Chris Carson Q,RB,SEA,195.6
T.J. Watt,OLB,PIT,192.9
Saquon Barkley IR,RB,NYG,192.1
Joe Mixon IR,RB,CIN,190.4
Chris Godwin,WR,TB,190.1
Sam Darnold Q,QB,NYJ,189.16
Todd Gurley II,RB,LAR,188.4
Shaquil Barrett,OLB,TB,186.15
Chandler Jones IR,OLB,ARI,184.55
Leonard Fournette,RB,JAX,183.4
Kenny Golladay Q,WR,DET,183
Kyle Allen IR,QB,CAR,177.48
Cooper Kupp,WR,LAR,176.5
Julio Jones Q,WR,ATL,175.1
DeVante Parker,WR,MIA,174.2
Josh Jacobs,RB,LV,171.6
Miles Sanders,RB,PHI,168.7
Jordan Hicks,ILB,ARI,168.65
Alvin Kamara,RB,NO,167.52
Amari Cooper,WR,DAL,167.5
Marlon Mack IR,RB,IND,167.3
Matthew Stafford Q,QB,DET,166.56
Mike Evans,WR,TB,165.7
A.J. Brown,WR,TEN,165.1
DeAndre Hopkins,WR,HOU,164.54
Kenyan Drake,RB,ARI,164.2
Phillip Lindsay,RB,DEN,162.7
Logan Ryan,CB,TEN,162.15
Cory Littleton,ILB,LAR,159
