"player_name","pos","projection","team"
"Lamar Jackson","QB","353.41","BAL"
"Christian McCaffrey","RB","338.52","CAR"
"Patrick Mahomes","QB","331.01","KC"
"Deshaun Watson","QB","307.07","HOU"
"Michael Thomas","WR","300.99","NO"
"Dalvin Cook","RB","299.89","MIN"
"Dak Prescott","QB","298.73","DAL"
"Russell Wilson","QB","296.8","SEA"
"Ezekiel Elliot","RB","292.63","DAL"
"Saquon Barkley","RB","291.03","NYG"
"Kyler Murray","QB","288.2","ARI"
"Josh Allen","QB","285.9","BUF"
"Tom Brady","QB","281.82","TAM"
"Alvin Kamara","RB","279.9","NO"
"Drew Brees","QB","273.04","NO"
"Carson Wentz","QB","269.98","PHI"
"DeAndre Hopkins","WR","268.42","ARI"
"Matt Ryan","QB","268.28","ATL"
"Aaron Rodgers","QB","266.29","GB"
"Matthew Stafford","QB","264.47","DET"
"Julio Jones","WR","262.85","ATL"
"Travis Kelce","TE","262.77","KC"
"Davante Adams","WR","261.75","GB"
"Chris Godwin","WR","260.47","TB"
"Mike Evans","WR","255.63","TB"
"Aaron Jones","RB","255.56","GB"
"Daniel Jones","QB","253.83","NYG"
"Derrick Henry","RB","250.97","TEN"
"Jared Goff","QB","249.88","LAR"
"Tyreek Hill","WR","248.22","KC"
"Kenyan Drake","RB","247.86","ARI"
"George Kittle","TE","246.41","SF"
"Austin Ekeler","RB","245.81","LAC"
"Ryan Tannehill","QB","242.45","TEN"
"Ben Roethlisberger","QB","240.44","PIT"
"Leonard Fournette","RB","236.92","JAX"
"Jimmy Garoppolo","QB","236.55","SF"
"Gardner Minshew II","QB","235.7","JAX"
"Damien Williams","RB","234.76","KC"
"Baker Mayfield","QB","232.84","CLE"
"Adam Thielen","WR","231.69","MIN"
"Kirk Cousins","QB","231.21","MIN"
"Ryan Fitzpatrick","MIA","229.78","QB"
"Nick Chubb","RB","229.4","CLE"
"Kenny Golladay","WR","227.23","DET"
"DJ Moore","WR","226.9","CAR"
"Miles Sanders","RB","224.49","PHI"
"Josh Jacobs","RB","223.69","OAK"
"Amari Cooper","WR","223.65","DAL"
"Phillip Rivers","QB","222.08","IND"
"Leveon Bell","RB","221.87","NYJ"
"Joe Mixon","RB","221.58","CIN"
"Courtland Sutton","WR","221.13","DEN"
"Tyler Lockett","WR","219.67","SEA"
"TY Hilton","WR","219.42","IND"
"Robert Woods","WR","219.04","LAR"
"Teddy Bridgewater","QB","218.63","CAR"
"Allen Robinson II","WR","218.57","CHI"
"Drew Lock","QB","218.4","DEN"
"Todd Gurley II","RB","216.2","ATL"
"Cooper Kupp","WR","215.76","LAR"
"Terry McLaurin","WR","215.39","WAS"
"JuJu Smith-Schuster","WR","214.42","PIT"
"Sam Darnold","QB","213.81","NYJ"
"Deebo Samuel","WR","211.93","SF"
"AJ Brown","WR","211.75","TEN"
"James Conner","RB","211.63","PIT"
"Chris Carson","RB","211.43","SEA"
"Jarrett Stidham","QB","211.42","NE"
"Dwayne Haskins Jr.","QB","209.21","WAS"
"Marvin Jones Jr.","WR","207.36","DET"
"Calvin Ridley","WR","207.18","ATL"
"Julian Edleman","WR","206.86","NE"
"Odell Beckham Jr.","WR","206.38","CLE"
